enabled,name,main_url,extra_url1,extra_url2,extra_url3,extra_url4,extra_url5
1,ガス安全小委員会,https://www.meti.go.jp/shingikai/sankoshin/hoan_shohi/gas_anzen/index.html,,,,,
0,ガスシステム改革小委員会,https://www.meti.go.jp/shingikai/enecho/kihon_seisaku/gas_system/index.html,,,,,
0,2050年に向けたガス事業の在り方研究会,https://www.meti.go.jp/shingikai/energy_environment/2050_gas_jigyo/index.html,,,,,
0,ガス事業制度検討ワーキンググループ,https://www.meti.go.jp/shingikai/enecho/denryoku_gas/denryoku_gas/gas_jigyo_wg/index.html,,,,,
1,ガス事業環境整備ワーキンググループ,https://www.meti.go.jp/shingikai/enecho/denryoku_gas/jisedai_kiban/gas_business_wg/index.html,,,,,
0,電力・ガス基本政策小委員会,https://www.meti.go.jp/shingikai/enecho/denryoku_gas/denryoku_gas/index.html,,,,,
1,次世代電力・ガス事業基盤構築小委員会,https://www.meti.go.jp/shingikai/enecho/denryoku_gas/jisedai_kiban/index.html,,,,,
1,電力システム改革の検証を踏まえた制度設計ワーキンググループ,https://www.meti.go.jp/shingikai/enecho/denryoku_gas/jisedai_kiban/system_design_wg/index.html,,,,,
1,制度検討作業部会,https://www.meti.go.jp/shingikai/enecho/denryoku_gas/jisedai_kiban/system_review/index.html,https://www.meti.go.jp/shingikai/enecho/denryoku_gas/denryoku_gas/seido_kento/index.html,,,,
0,あるべき卸電力市場、需給調整市場及び需給運用の実現に向けた実務検討作業部会,https://www.meti.go.jp/shingikai/energy_environment/oroshi_jukyu_kento/index.html,,,,,
0,卸電力市場、需給調整市場及び需給運用の在り方勉強会,https://www.meti.go.jp/shingikai/energy_environment/oroshi_jukyu/index.html,,,,,
1,同時市場の在り方等に関する検討会,https://www.meti.go.jp/shingikai/energy_environment/doji_shijo_kento/index.html,,,,,
1,次世代の分散型電力システムに関する検討会,https://www.meti.go.jp/shingikai/energy_environment/jisedai_bunsan/index.html,,,,,
1,将来の電力需給に関する在り方勉強会,https://www.meti.go.jp/shingikai/energy_environment/denryoku_jukyu/index.html,,,,,
1,再生可能エネルギー大量導入・次世代電力ネットワーク小委員会,https://www.meti.go.jp/shingikai/enecho/denryoku_gas/saisei_kano/index.html,,,,,
1,系統ワーキンググループ,https://www.meti.go.jp/shingikai/enecho/shoene_shinene/shin_energy/keito_wg/index.html,,,,,
0,次世代電力系統ワーキンググループ,https://www.meti.go.jp/shingikai/enecho/denryoku_gas/saisei_kano/smart_power_grid_wg/index.html,,,,,
1,分散型エネルギー推進戦略ワーキンググループ,https://www.meti.go.jp/shingikai/enecho/denryoku_gas/jisedai_kiban/distributed_energy_wg/index.html,,,,,
1,洋上風力促進ワーキンググループ,https://www.meti.go.jp/shingikai/enecho/denryoku_gas/saisei_kano/yojo_furyoku/index.html,,,,,
1,調達価格等算定委員会,https://www.meti.go.jp/shingikai/santeii/,,,,,
1,資源・燃料分科会,https://www.meti.go.jp/shingikai/enecho/shigen_nenryo/index.html,,,,,
1,資源開発・燃料供給小委員会(旧：石油・天然ガス小委員会),https://www.meti.go.jp/shingikai/enecho/shigen_nenryo/sekiyu_gas/index.html,,,,,
1,電力・ガス需給と燃料（LNG）調達に関する官民連絡会議,https://www.meti.go.jp/shingikai/energy_environment/lng/index.html,,,,,
1,メタネーション推進官民協議会,https://www.meti.go.jp/shingikai/energy_environment/methanation_suishin/index.html,,,,,
1,温対法に基づく事業者別排出係数の算出方法等に係る検討会,https://www.meti.go.jp/shingikai/energy_environment/ontaiho_haisyutsu/index.html,,,,,
1,水素・アンモニア政策小委員会,https://www.meti.go.jp/shingikai/enecho/shoene_shinene/suiso_seisaku/index.html,,,,,
1,脱炭素燃料政策小委員会,https://www.meti.go.jp/shingikai/enecho/shigen_nenryo/nenryo_seisaku/index.html,,,,,
1,グリーンイノベーション戦略推進会議,https://www.meti.go.jp/shingikai/energy_environment/green_innovation/index.html,,,,,
1,GX実現に向けた排出量取引制度の検討に資する法的課題研究会,https://www.meti.go.jp/shingikai/energy_environment/gx_implementation/index.html,,,,,
1,GXリーグにおけるサプライチェーンでの取組のあり方に関する研究会,https://www.meti.go.jp/shingikai/energy_environment/gx_league/index.html,,,,,
1,排出量取引制度小委員会,https://www.meti.go.jp/shingikai/sankoshin/sangyo_gijutsu/emissions_trading/index.html,,,,,
1,製造業ベンチマーク検討ワーキンググループ,https://www.meti.go.jp/shingikai/sankoshin/sangyo_gijutsu/emissions_trading/benchmark_wg/index.html,,,,,
1,発電ベンチマーク検討ワーキンググループ,https://www.meti.go.jp/shingikai/sankoshin/sangyo_gijutsu/emissions_trading/power_generation_benchmark/,,,,,
1,電力広域的運営推進機関検証ワーキンググループ,https://www.meti.go.jp/shingikai/enecho/denryoku_gas/jisedai_kiban/occto/index.html,https://www.meti.go.jp/shingikai/enecho/denryoku_gas/denryoku_gas/koikiteki_uneisuishin_wg/index.html,,,,
1,価値創造経営小委員会,https://www.meti.go.jp/shingikai/sankoshin/shin_kijiku/value_creation/index.html,,,,,
1,企業価値向上に向けた海外資本活用に関する研究会,https://www.meti.go.jp/shingikai/external_economy/improving_corporate_value/index.html,,,,,
1,「稼ぐ力」の強化に向けたコーポレートガバナンス研究会,https://www.meti.go.jp/shingikai/economy/earning_power/index.html,,,,,
1,博士人材の産業界への入職経路の多様化に関する勉強会,https://www.meti.go.jp/shingikai/economy/doctoral_talent/index.html,,,,,
